address,latitude,longitude
8200 Leslie Rd,49.1795406,-123.1336051
5300 Granville Ave,49.1623799,-123.1657269
10100 Shellbridge Way,49.18691829999999,-123.1041894
6271 Williams Rd,49.141242,-123.1552948
6880 Lucas Rd  55,49.15162979999999,-123.1481394
8200 Leslie Rd,49.1795406,-123.1336051
10520 Williams Rd,49.1405008,-123.1060693
9877 Ashwood Dr,49.1492181,-123.1156813
8080 Blundell Rd  108,49.15531619999999,-123.1351953
6051 Riverdale Dr,49.1695724,-123.1753083
10333 Bird Rd,49.190067,-123.1084822
8080 No 3 Rd,49.1546674,-123.1362123
8180 Leslie Rd,49.1795665,-123.1348757
10320 Railway Ave,49.1379555,-123.1694836
8811 Saunders Rd,49.1438697,-123.1260326
9331 Ferndale Rd,49.1688129,-123.1209545
10720 Railway Ave,49.13433750000001,-123.1693169
5140 Williams Rd,49.1407367,-123.1675823
12060 No 5 Rd,49.1253498,-123.0917656
3240 No 4 Rd,49.1872495,-123.1131015
4320 Garden City Rd,49.1816082,-123.1241382
8380 No 4 Rd,49.151658,-123.113399
8560 Heather St,49.15138109999999,-123.1221817
8560 Heather St,49.15138109999999,-123.1221817
4440 Vanguard Rd,49.18136740000001,-123.1005078
12071 2nd Ave,49.1253606,-123.1844997
7371 No 4 Rd,49.159371,-123.1146066
2200 McLennan Ave,49.1957967,-123.1075308
12071 2nd Ave,49.1253606,-123.1844997
3891 Chatham St  3,49.1267526,-123.1821752
5471 Steveston Hwy,49.1338272,-123.1634162
4831 Williams Rd,49.1412559,-123.1722258
7280 Ash St,49.160371,-123.1194319
7280 Ash St,49.160371,-123.1194319
8171 Calder Rd,49.1539023,-123.1685161
9340 Dayton Ave,49.1515789,-123.1213443
9340 Dayton Ave,49.1515789,-123.1213443
5471 Steveston Hwy,49.1338272,-123.1634162
8460 No 3 Rd,49.15126919999999,-123.1363647
8240 Williams Rd,49.1405708,-123.1332152
9951 Blundell Rd,49.1557349,-123.1147787
8080 No 3 Rd,49.1546674,-123.1362123
3580 Moncton St  100,49.12508880000001,-123.1840577
8520 Railway Ave,49.15079249999999,-123.1694488
6811 Graybar Rd,49.16453629999999,-122.9910437
3900 Viking Way,49.185716,-123.072218
7491 No 1 Rd,49.1578315,-123.1814068
5593 No 3 Rd,49.1746128,-123.1371772
8640 Alexandra Rd,49.17766330000001,-123.1272055
9100 Bridgeport Rd,49.1916928,-123.1234562
8020 Lucas Rd,49.1513567,-123.136033
9100 Cambie Rd,49.1843143,-123.1235929
8811 Saunders Rd,49.1438697,-123.1260326
3695 Chatham St,49.1266816,-123.1844421
23391 Westminster Hwy,49.182025,-122.9644134
2051 Anson Ave,49.1889416,-123.14836
5300 No 3 Rd,49.1754267,-123.1324169
5300 No 3 Rd,49.1754267,-123.1324169
10380 No 4 Rd,49.1362996,-123.1139851
4635 Smith Cr,49.1782305,-122.9655384
10220 Blundell Rd,49.15497999999999,-123.110817
8120 No 1 Rd,49.15435069999999,-123.1807149
2300 McLeod Ave,49.194205,-123.1105274
3651 Moncton St  110,49.1255663,-123.1838549
12800 Rice Mill Rd,49.1239971,-123.0814457
6511 Dyke Rd,49.1146132,-123.151945
13888 Wireless Way,49.17117229999999,-123.0716256
8800 Odlin Cr,49.181997,-123.126784
8800 Odlin Cr,49.181997,-123.126784
9671 Haddon Crt,49.1417396,-123.1666042
6551 No 3 Rd,49.1672202,-123.1377277
12951 Blundell Rd,49.156293,-123.08123
12951 Blundell Rd,49.156293,-123.08123
8520 Railway Ave,49.15079249999999,-123.1694488
6071 Azure Rd,49.1694621,-123.1516284
7600 No 4 Rd,49.1574922,-123.1132533
11831 Seabrook Cr,49.1395978,-123.0928102
11831 Seabrook Cr,49.1395978,-123.0928102
3200 No 3 Rd,49.190661,-123.129895
14111 Entertainment Blvd,49.1345348,-123.0662119
14111 Entertainment Blvd,49.1345348,-123.0662119
9040 Francis Rd,49.148002,-123.1247793
8611 Cook Rd,49.1666677,-123.1280226
9371 Dolphin Ave,49.1503305,-123.1206815
8691 Heather St,49.15032430000001,-123.1228328
6520 Williams Rd,49.1406913,-123.1511353
10200 Caithcart Rd,49.188678,-123.1109162
11111 Bird Rd,49.1898637,-123.1007075
4171 Westminster Hwy,49.1703826,-123.1794338
2400 No 5 Rd,49.1947547,-123.0912166
2400 No 5 Rd,49.1947547,-123.0912166
5300 No 3 Rd,49.1754267,-123.1324169
7511 St Albans Rd,49.1581802,-123.1312774
7100 Williams Rd,49.1407289,-123.1461357
13911 Vulcan Way,49.2000487,-123.071502
6851 Elmbridge Way,49.1732968,-123.1505178
23220 Willett Ave,49.17961030000001,-122.965129
8871 Douglas St,49.193116,-123.126571
3800 Bayview St,49.1239284,-123.184097
8911 Patterson Rd,49.190544,-123.125966
3100 St Edwards Dr,49.1910932,-123.1108117
8740 Charles St,49.194394,-123.1278931
9451 Odlin Rd,49.1820152,-123.119135
12160 Woodhead Rd,49.1820477,-123.0890938
8911 Patterson Rd,49.190544,-123.125966
6011 River Rd,49.1722845,-123.1563347
3300 Granville Ave,49.162509,-123.1869334
4831 Steveston Hwy,49.13414,-123.170334
9000 No 3 Rd,49.1479766,-123.1362896
9000 No 3 Rd,49.1479766,-123.1362896
8220 No 2 Rd,49.15281969999999,-123.156132
6560 Williams Rd,49.1407011,-123.1506823
12120 No 5 Rd,49.12483080000001,-123.0917098
9351 No 1 Rd,49.1450194,-123.181766
8720 Rosemary Ave,49.1338158,-123.1275285
5800 Granville Ave,49.1623594,-123.1615419
8680 Alexandra Rd,49.1778256,-123.1265161
8211 Lansdowne Rd,49.1742477,-123.1336988
12399 Steveston Hwy,49.13344860000001,-123.088958
3440 Sexsmith Rd,49.1879701,-123.1262633
4311 Moncton St,49.1257503,-123.1767419
6699 River Rd  105,49.1754189,-123.1476895
6200 Minoru Blvd,49.1676104,-123.1401559
8240 Williams Rd,49.1405708,-123.1332152
5800 Granville Ave,49.1623594,-123.1615419
7371 No 4 Rd,49.159371,-123.1146066
7300 St Albans Rd,49.1599451,-123.1305785
9371 Francis Rd,49.1484079,-123.1206763
8120 No 1 Rd,49.15435069999999,-123.1807149
7520 Ash St,49.1584435,-123.1194845
9220 Garden City Rd,49.1463736,-123.1248925
9220 Garden City Rd,49.1463736,-123.1248925
2668 Simpson Rd,49.1943875,-123.0990118
10111 No 5 Rd,49.1396339,-123.0921853
6800 Francis Rd,49.1480531,-123.1484522
7511 St Albans Rd,49.1581802,-123.1312774
5120 Williams Rd,49.14079230000001,-123.1678963
4651 Smith Cr,49.178058,-122.965341
8271 Cambie Rd,49.185237,-123.132892
4940 No 3 Rd,49.1781891,-123.1360145
16820 River Rd,49.2007725,-123.0374669
8635 Cook Cr,49.167656,-123.1293241
8160 No 5 Rd,49.15376999999999,-123.089786
14671 Williams Rd,49.140906,-123.060554
8871 Douglas St,49.193116,-123.126571
11011 Shell Rd,49.1329998,-123.1038533
10611 River Dr,49.19750730000001,-123.1036683
9671 No 1 Rd,49.14195669999999,-123.181717
7151 Bridge St,49.161225,-123.117591
8171 Calder Rd,49.1539023,-123.1685161
8171 Calder Rd,49.1539023,-123.1685161
8020 Lucas Rd,49.1513567,-123.136033
8020 Lucas Rd,49.1513567,-123.136033
12260 Woodhead Rd,49.18207779999999,-123.0875569
8880 Cook Rd,49.1661689,-123.1254529
8680 Alexandra Rd,49.1778256,-123.1265161
9540 Williams Rd,49.14053390000001,-123.1183348
8231 Ackroyd Rd,49.1721063,-123.1327791
3420 Ketcheson Crt,49.1892779,-123.1260727
11811 Dunford Rd,49.1282219,-123.1741399
11431 Williams Rd,49.140914,-123.0974377
3800 Bayview St  201,49.1256341,-123.1829894
10408 Dennis Cr,49.1382562,-123.1125947
6360 No 6 Rd,49.1663613,-123.0686325
5355 Parkwood Pl,49.1759577,-123.0796161
23360 Westminster Hwy,49.1811824,-122.9649727
9100 Cambie Rd,49.1843143,-123.1235929
4880 No 6 Rd,49.17850720000001,-123.0679674
7480 Williams Rd,49.1407073,-123.1402023
3600 Lysander Lane,49.1894774,-123.1415931
3831 Moncton St,49.1253818,-123.1824939
8011 Leslie Rd,49.180017,-123.1354943
9720 Cambie Rd,49.18433719999999,-123.1153994
12240 2nd Ave,49.1243243,-123.1839467
11891 Dunavon Pl,49.12773300000001,-123.1728161
6840 No 3 Rd,49.16399500000001,-123.136134
8880 Cook Rd,49.1661689,-123.1254529
8220 Gilbert Rd,49.15368220000001,-123.1476905
6531 Francis Rd,49.14858359999999,-123.1521468
7640 Francis Rd,49.1480571,-123.1386699
11360 Cambie Rd,49.1843733,-123.0976114
8220 Gilbert Rd,49.15368220000001,-123.1476905
3800 Bayview St,49.1239284,-123.184097
22540 Gilley Rd,49.1768142,-122.9723279
5300 No 3 Rd,49.1754267,-123.1324169
5300 No 3 Rd,49.1754267,-123.1324169
7600 Ash St,49.157749,-123.1193897
3660 Williams Rd,49.1408598,-123.1874512
9720 Granville Ave,49.1625539,-123.1157947
4640 Smith Cr,49.1780908,-122.964731
4611 Smith Cr,49.1786863,-122.9651061
8460 No 3 Rd,49.15126919999999,-123.1363647
8460 No 3 Rd,49.15126919999999,-123.1363647
9500 Westminster Hwy,49.1697877,-123.118384
11460 Voyageur Way,49.1910079,-123.0975614
5900 No 2 Rd,49.1716627,-123.1584944
11460 Williams Rd,49.1404902,-123.0971658
9800 Pendleton Rd,49.1448767,-123.1747247
9231 Kilby St,49.1885971,-123.1228142
21840 River Rd,49.17954599999999,-122.98195
9271 Kilby St,49.188618,-123.1225381
13888 Wireless Way,49.17117229999999,-123.0716256
6571 No 1 Rd,49.1649439,-123.1815991
8880 Cook Rd,49.1661689,-123.1254529
6340 Granville Ave,49.1624085,-123.1540045
2840 No 3 Rd,49.1927242,-123.1290676
9800 Van Horne Way,49.1972291,-123.1188222
6551 No 3 Rd,49.1672202,-123.1377277
8620 Spires Rd,49.1672035,-123.1261235
3320 Jacombs Rd,49.18908829999999,-123.0790622
10331 Bird Rd,49.1900816,-123.108514
10331 Bird Rd,49.1900816,-123.108514
11040 Bird Rd,49.1892854,-123.1019575
11040 Bird Rd,49.1892854,-123.1019575
11040 Bird Rd,49.1892854,-123.1019575
6333 Cooney Rd,49.1680709,-123.1324003
5900 River Rd,49.1722845,-123.1563347
14511 Westminster Hwy,49.170043,-123.062182
6831 Graybar Rd,49.1637429,-122.991024
4400 Smith Cr,49.1802286,-122.9638678
8080 No 3 Rd,49.1546674,-123.1362123
9091 Alexandra Rd,49.1789872,-123.1233201
7560 Ash St,49.158086,-123.119282
7560 Ash St,49.158086,-123.119282
8720 No 2 Rd,49.1489401,-123.158466
22540 Gilley Rd,49.1768142,-122.9723279
6808 Finn Rd,49.118645,-123.1506437
11599 Steveston Hwy,49.13401100000001,-123.094514
4540 Thompson Rd,49.1790233,-122.9597298
6271 Williams Rd,49.141242,-123.1552948
10111 No 5 Rd,49.1396339,-123.0921853
11320 Williams Rd,49.1404737,-123.0988876
7100 Ash St,49.16187799999999,-123.119057
9291 Blundell Rd,49.1557271,-123.1213355
6840 No 3 Rd,49.16399500000001,-123.136134
5691 Parkwood Way,49.173213,-123.0787477
7300 Bridge St,49.1600547,-123.1166414
4360 Smith Cr,49.1806488,-122.9638348
4360 Smith Cr,49.1806488,-122.9638348
3240 No 4 Rd,49.1872495,-123.1131015
9471 Beckwith Rd,49.193645,-123.1177281
9071 No 5 Rd,49.1472186,-123.0924572
8211 No 3 Rd,49.153414,-123.1371033
16960 River Rd,49.200065,-123.036048
3051 Broadway St,49.1274719,-123.1913115
9340 General Currie Rd,49.1589474,-123.1207032
10840 Bonavista Gate,49.13439,-123.1722789
6800 Francis Rd,49.1480531,-123.1484522
12900 Steveston Hwy,49.1330493,-123.0837285
8800 Spires Rd,49.16722499999999,-123.1289317
10511 Lassam Rd,49.1364427,-123.1640678
10840 Bonavista Gate,49.13439,-123.1722789
7120 Williams Rd,49.14072059999999,-123.1457621
8831 Cambie Rd,49.1849381,-123.124973
8831 Cambie Rd,49.1849381,-123.124973
6580 Cooney Rd,49.1659545,-123.1311789
8831 Cambie Rd,49.1849381,-123.124973
10851 Bird Rd,49.1900488,-123.1034697
10851 Bird Rd,49.1900488,-123.1034697
18331 Westminster Hwy,49.17002,-123.018911
6500 Cooney Rd,49.1666505,-123.131214
8231 No 3 Rd,49.15321369999999,-123.1371536
10671 Gilmore Cr,49.1960908,-123.1042263
5491 No 2 Rd,49.1725077,-123.1593807
11251 Bridgeport Rd,49.1922447,-123.099285
2400 McLennan Ave,49.1932757,-123.1075412
12060 No 5 Rd,49.1253498,-123.0917656
9371 Francis Rd,49.1484079,-123.1206763
8120 No 1 Rd,49.15435069999999,-123.1807149
5520 Williams Rd,49.140727,-123.162579
6560 Williams Rd,49.1407011,-123.1506823
5091 Steveston Hwy,49.134029,-123.1684921
9351 Beckwith Rd,49.1940423,-123.1196372
4571 Steveston Hwy,49.1340589,-123.1740966
10200 Railway Ave,49.1390118,-123.1694886
20411 Westminster Hwy,49.170412,-122.995239
11191 Twigg Pl,49.2027211,-123.1078042
18840 River Rd,49.19323199999999,-123.014294
6231 Blundell Rd,49.155879,-123.1556306
13888 Wireless Way,49.17117229999999,-123.0716256
7300 St Albans Rd,49.1599451,-123.1305785
10651 Bridgeport Rd,49.1922314,-123.1044691
10140 No 1 Rd,49.1397588,-123.1810112
3940 Richmond St,49.1281153,-123.1814915
11760 Williams Rd,49.1404538,-123.0932633
8860 Cambie Rd,49.1841453,-123.1255063
5471 Steveston Hwy,49.1338272,-123.1634162
11760 Williams Rd,49.1404538,-123.0932633
4920 Mariposa Crt,49.1636239,-123.1707806
10333 River Dr,49.19752399999999,-123.1044076
2200 McLennan Ave,49.1957967,-123.1075308
2200 McLennan Ave,49.1957967,-123.1075308
8420 Heather St,49.1523572,-123.122188
3220 Blundell Rd,49.1554734,-123.1892066
10931 Seaward Gate,49.1336311,-123.0999167
7117 Lindsay Rd,49.1615372,-123.1684593
10391 Bird Rd,49.1901084,-123.107507
10391 Bird Rd,49.1901084,-123.107507
10011 Seacote Rd,49.1404503,-123.0982685
10340 No 4 Rd,49.1366785,-123.1138867
3660 Williams Rd,49.1408598,-123.1874512
11720 Williams Rd,49.1404845,-123.0938079
5300 Granville Ave,49.1623799,-123.1657269
11720 Williams Rd,49.1404845,-123.0938079
6520 Williams Rd,49.1406913,-123.1511353
8520 Railway Ave,49.15079249999999,-123.1694488
7391 Moffatt Rd,49.1591673,-123.1441069
6700 Francis Rd,49.1480787,-123.1492888
8031 No 2 Rd,49.15511000000001,-123.159378
8240 Williams Rd,49.1405708,-123.1332152
3551 Moncton St,49.1253699,-123.1845916
9320 Cambie Rd,49.1842429,-123.1208383
4100 Vanguard Rd,49.1835397,-123.100505
9280 No 3 Rd,49.14540539999999,-123.1363018
5691 Parkwood Way,49.173213,-123.0787477
22551 Westminster Hwy,49.17207390000001,-122.9719208
9600 Garden City Rd,49.1441343,-123.124922
5660 Parkwood Way,49.1742259,-123.0772121
8880 Cook Rd,49.1661689,-123.1254529
8031 No 2 Rd,49.15511000000001,-123.159378
9200 Francis Rd,49.14796200000001,-123.1225176
8100 Westminster Hwy,49.1699329,-123.1350172
5660 Parkwood Way,49.1742259,-123.0772121
6340 Granville Ave,49.1624085,-123.1540045
3640 No 4 Rd,49.1864049,-123.1135414
2660 Smith St,49.1939353,-123.1251858
10140 Cornerbrook Cr,49.1402295,-123.1705963
10140 Cornerbrook Cr,49.1402295,-123.1705963
8951 Spires Rd,49.16776000000001,-123.1305202
9180 Kilby St,49.1882359,-123.1235871
10980 No 3 Rd,49.1338,-123.13621
7195 No 4 Rd,49.1611108,-123.1144957
13460 Smallwood Pl,49.1717084,-123.0757623
10671 Gilmore Cr,49.1960908,-123.1042263
5740 Minoru Blvd,49.1734671,-123.1393234
7011 No 7 Rd,49.1580857,-123.0554036
9880 Granville Ave,49.1626183,-123.1144676
5800 Granville Ave,49.1623594,-123.1615419
8200 Leslie Rd,49.1795406,-123.1336051
8200 Leslie Rd,49.1795406,-123.1336051
3751 Shuswap Ave,49.13483369999999,-123.1817258
7371 No 4 Rd,49.159371,-123.1146066
3500 Cessna Dr,49.1909193,-123.1404305
12071 2nd Ave,49.1253606,-123.1844997
8911 Patterson Rd,49.190544,-123.125966
10431 No 5 Rd,49.136751,-123.0924099
1600 Savage Rd,49.20172969999999,-123.0573753
2751 Shell Rd,49.1929198,-123.1030809
12111 3rd Ave,49.1255213,-123.1860281
12080 1st Ave,49.1256327,-123.182418
6560 Granville Ave,49.1624116,-123.1507774
8351 River Rd,49.1931701,-123.1329673
7580 Ash St,49.15787599999999,-123.11902
10071 Williams Rd,49.1409686,-123.113318
3231 No 6 Rd,49.189285,-123.070228
9091 No 2 Rd,49.1474176,-123.1592523
10720 Cambie Rd,49.1835937,-123.1044863
3131 Sexsmith Rd,49.1907365,-123.1288132
5500 Williams Rd,49.1408079,-123.1629097
10200 Caithcart Rd,49.188678,-123.1109162
10200 Caithcart Rd,49.188678,-123.1109162
5491 No 2 Rd,49.1725077,-123.1593807
5900 River Rd,49.1722845,-123.1563347
4226 Williams Rd,49.1407812,-123.1777354
5500 No 3 Rd,49.1735941,-123.1359377
4331 Garden City Rd,49.181587,-123.125197
10831 Southdale Rd,49.13379459999999,-123.1194949
3400 Moncton St  100,49.1250164,-123.1855541
8131 Westminster Hwy,49.1702497,-123.1348918
4693 Vanguard Rd,49.1789079,-123.101332
8600 Francis Rd,49.1479718,-123.1271685
6660 Francis Rd,49.1480815,-123.1498394
6660 Francis Rd,49.1480815,-123.1498394
7151 Bridge St,49.161225,-123.117591
12800 Rice Mill Rd,49.1239971,-123.0814457
12800 Rice Mill Rd,49.1239971,-123.0814457
8011 Zylmans Way,49.1532444,-123.0500674
8671 Spires Rd,49.16763460000001,-123.1269506
8231 Williams Rd,49.141065,-123.1333047
9251 Beckwith Rd,49.19378039999999,-123.1209629
2408 McKessock Ave,49.1926995,-123.1045589
9080 Odlin Rd,49.1815186,-123.1235071
13020 Delf Pl,49.18051990000001,-123.0797292
23440 Gates Ave,49.1786221,-122.9636548
9900 No 3 Rd,49.1411655,-123.136238
11540 Railway Ave,49.1288811,-123.1694743
9020 Glenallan Gate,49.1453148,-123.1248137
5740 Minoru Blvd,49.1734671,-123.1393234
6531 Francis Rd,49.14858359999999,-123.1521468
9080 Odlin Rd,49.1815186,-123.1235071
6551 No 3 Rd,49.1672202,-123.1377277
6551 No 3 Rd,49.1672202,-123.1377277
10671 Bridgeport Rd,49.1923417,-123.1041219
8320 Bridgeport Rd,49.191708,-123.132332
12951 Bathgate Way,49.1895154,-123.0811386
11240 Williams Rd,49.14049050000001,-123.0999649
11240 Williams Rd,49.14049050000001,-123.0999649
7464 No 1 Rd,49.1582728,-123.1808946
9520 Beckwith Rd,49.1933412,-123.1170917
4300 Thompson Rd,49.1811619,-122.9597722
7890 No 5 Rd,49.1560272,-123.0908655
12580 Vickers Way,49.1909187,-123.0834284
9391 No 2 Rd,49.1448184,-123.1592837
9100 Cambie Rd,49.1843143,-123.1235929
8260 Aspin Dr,49.1538192,-123.1157361
7951 No 3 Rd,49.1558922,-123.136949
3208 Carscallen Rd,49.19013169999999,-123.1291421
10475 No 5 Rd,49.1363765,-123.0924938
6811 Pearson Way,49.1765483,-123.1484157
6811 Pearson Way,49.1765483,-123.1484157
8351 Pigott Rd,49.1420377,-123.1316817
10931 Seaward Gate,49.1336311,-123.0999167
6333 Cooney Rd,49.1680709,-123.1324003
9991 Blundell Rd,49.1557366,-123.1144465
5591 No 3 Rd,49.174766,-123.1373023
5591 No 3 Rd,49.174766,-123.1373023
10231 No 2 Rd,49.13877069999999,-123.1593633
7811 Alderbridge Way,49.1760773,-123.1418784
6111 Dyke Rd,49.11673469999999,-123.1569863
6111 Dyke Rd,49.11673469999999,-123.1569863
10700 Cambie Rd  115,49.1843462,-123.1051414
4080 No 5 Rd,49.1838456,-123.091304
13460 Smallwood Pl,49.1717084,-123.0757623
4700 No 3 Rd,49.1794518,-123.1362338
8280 No 3 Rd,49.1528923,-123.1362173
6302 No 3 Rd,49.1675516,-123.1358504
23200 Gilley Rd,49.1764406,-122.9670007
8871 Douglas St,49.193116,-123.126571
8820 Spires Rd,49.1672458,-123.1291783
13171 Smallwood Pl,49.17189399999999,-123.0787507
8291 Williams Rd,49.1410669,-123.1327534
9151 Van Horne Way,49.1956948,-123.124037
12151 Trites Rd,49.1247192,-123.1648367
3211 No 3 Rd,49.19032499999999,-123.132231
3311 No 3 Rd,49.1895933,-123.1321567
7195 No 4 Rd,49.1611108,-123.1144957
7811 Alderbridge Way,49.1760773,-123.1418784
5333 No 3 Rd,49.176291,-123.1383071
8071 Park Rd,49.1651196,-123.1351532
9640 Alberta Rd,49.16540939999999,-123.1170215
8031 No 2 Rd,49.15511000000001,-123.159378
7780 River Rd,49.1853569,-123.1376136
10671 Bridgeport Rd,49.1923417,-123.1041219
9520 Beckwith Rd,49.1933412,-123.1170917
4400 Smith Cr,49.1802286,-122.9638678
9511 Williams Rd,49.1410238,-123.1203638
7000 Williams Rd,49.1407596,-123.1475131
4700 No 3 Rd,49.1794518,-123.1362338
6560 No 3 Rd,49.165793,-123.135941
8320 Bridgeport Rd,49.191708,-123.132332
4300 Bayview St,49.1229287,-123.1761834
6031 Blundell Rd,49.1558646,-123.1583609
9151 Bridgeport Rd,49.1930521,-123.1217003
8091 Capstan Way,49.1894803,-123.1342797
6340 No 3 Rd,49.1674339,-123.1358811
15040 Williams Rd,49.1405629,-123.0569685
9520 Beckwith Rd,49.1933412,-123.1170917
9211 Odlin Rd,49.1820667,-123.1223505
11480 Railway Ave,49.12925689999999,-123.1695472
7511 St Albans Rd,49.1581802,-123.1312774
8511 Capstan Way,49.1889575,-123.1317582
3560 Moncton St,49.1248922,-123.1845666
3560 Moncton St,49.1248922,-123.1845666
9980 Westminster Hwy,49.1698287,-123.1143167
9620 Williams Rd,49.1405192,-123.1170588
9080 Odlin Rd,49.1815186,-123.1235071
9700 Williams Rd,49.1404229,-123.1159396
10760 Bridgeport Rd,49.1917839,-123.1033899
4400 Smith Cr,49.1802286,-122.9638678
4008 Stolberg St,49.1839304,-123.1190877
8540 Cambie Rd,49.1845174,-123.1287359
12011 3rd Ave,49.1261293,-123.1859483
5511 Cathay Rd,49.1535018,-123.1628603
6520 Williams Rd,49.1406913,-123.1511353
6451 Riverdale Dr,49.1661192,-123.1752736
3551 Sexsmith Rd,49.1868967,-123.1285357
8180 Heather St,49.1539545,-123.1222945
7780 River Rd,49.1853569,-123.1376136
7760 Garden City Rd,49.1565257,-123.1250705
9231 Williams Rd,49.1411898,-123.1220544
8100 No 5 Rd,49.1544113,-123.0912528
7300 Francis Rd,49.1481039,-123.1433553
11671 Cambie Rd,49.1847996,-123.0934006
11740 Dunford Rd,49.12896689999999,-123.173481
22720 Westminster Hwy,49.1740376,-122.9701791
4471 Thompson Rd,49.180166,-122.960158
6551 No 3 Rd,49.1672202,-123.1377277
10140 Finlayson Dr,49.1958224,-123.1128591
13201 River Rd,49.19906539999999,-123.0795397
9071 Steveston Hwy,49.1337216,-123.1240691
8491 No 4 Rd,49.1510532,-123.1145704
8491 No 4 Rd,49.1510532,-123.1145704
9351 No 1 Rd,49.1450194,-123.181766
10255 River Dr,49.1983095,-123.1086896
6740 Francis Rd,49.1481137,-123.1490379
23100 Westminster Hwy,49.1780475,-122.9673858
7200 Railway Ave,49.1608673,-123.1694447
4300 Thompson Rd,49.1811619,-122.9597722
10671 Bridgeport Rd,49.1923417,-123.1041219
12320 Trites Rd,49.1238696,-123.1635843
9460 Williams Rd,49.1405738,-123.1194477
9240 Cambie Rd,49.1843649,-123.12221
13100 Smallwood Pl,49.1709995,-123.0794352
4780 Steveston Hwy,49.1335274,-123.1710668
